"debut_decade","schoolid","num_players"
"1870","brown","2"
"1870","fordham","2"
"1870","yale","2"
"1880","yale","6"
"1880","brown","3"
"1880","michigan","3"
"1890","holycross","14"
"1890","brown","9"
"1890","upenn","8"
"1900","georgetown","12"
"1900","notredame","12"
"1900","fordham","11"
"1910","holycross","11"
"1910","notredame","11"
"1910","stmarysca","10"
"1920","alabama","12"
"1920","michigan","10"
"1920","holycross","9"
"1920","ohiost","9"
"1920","stmarysca","9"
"1930","alabama","12"
"1930","holycross","12"
"1930","duke","11"
"1940","illinois","9"
"1940","texas","7"
"1940","duke","6"
"1940","indiana","6"
"1940","newyorku","6"
"1950","usc","9"
"1950","texas","7"
"1950","wisconsin","7"
"1960","usc","17"
"1960","arizonast","10"
"1960","michiganst","10"
"1960","santaclara","10"
"1970","arizonast","24"
"1970","texas","14"
"1970","usc","14"
"1980","arizonast","24"
"1980","texas","19"
"1980","ucla","18"
"1990","stanford","21"
"1990","lsu","20"
"1990","arizonast","18"
"1990","floridast","18"
"1990","miamifl","18"
"2000","stanford","24"
"2000","longbeach","20"
"2000","calstfull","19"
"2010","arizonast","11"
"2010","miamifl","11"
"2010","california","9"
"2010","longbeach","9"
"2010","unc","9"
