"state","slope_growth"
"CA","17.36"
"TX","13.04"
"FL","13.00"
"SC","5.21"
"LA","5.07"
"NC","4.21"
"GA","4.00"
"OK","3.93"
"VA","3.86"
"AL","3.54"
"AZ","3.46"
"MS","3.18"
"TN","2.96"
"KS","2.39"
"IN","2.07"
"MO","2.00"
"NE","2.00"
"KY","1.96"
"ID","1.87"
"IA","1.83"
"IL","1.46"
"AR","1.32"
"OR","1.21"
"NJ","1.14"
"OH","0.79"
"WA","0.68"
"NV","0.60"
"CO","0.57"
"NM","0.50"
"RI","0.34"
"CT","0.25"
"MA","0.25"
"WV","0.11"
"MD","0.11"
"PA","0.11"
"DC","0.07"
"WI","-0.03"
"ME","-0.04"
"NY","-0.25"
"NH","-0.41"
"UT","-0.57"
"MN","-0.75"
"MI","-2.04"
