"teamid","yearid","annual_payroll","cumulative_payroll"
"ANA",1997,"31135472","31135472"
"ANA",1998,"41281000","72416472"
"ANA",1999,"55388166","127804638"
"ANA",2000,"51464167","179268805"
"ANA",2001,"47535167","226803972"
"ANA",2002,"61721667","288525639"
"ANA",2003,"79031667","367557306"
"ANA",2004,"100534667","468091973"
"ARI",1998,"32347000","32347000"
"ARI",1999,"68703999","101050999"
"ARI",2000,"81027833","182078832"
"ARI",2001,"85082999","267161831"
"ARI",2002,"102819999","369981830"
"ARI",2003,"80657000","450638830"
"ARI",2004,"69780750","520419580"
"ARI",2005,"62329166","582748746"
"ARI",2006,"59684226","642432972"
"ARI",2007,"52067546","694500518"
"ARI",2008,"66202712","760703230"
"ARI",2009,"73115666","833818896"
"ARI",2010,"60718166","894537062"
"ARI",2011,"53639833","948176895"
"ARI",2012,"73804833","1021981728"
"ARI",2013,"90132000","1112113728"
"ARI",2014,"97861500","1209975228"
"ARI",2015,"61834000","1271809228"
"ARI",2016,"87439063","1359248291"
"ATL",1985,"14807000","14807000"
"ATL",1986,"17102786","31909786"
"ATL",1987,"16544560","48454346"
"ATL",1988,"12728174","61182520"
"ATL",1989,"11112334","72294854"
"ATL",1990,"14555501","86850355"
"ATL",1991,"18403500","105253855"
"ATL",1992,"34625333","139879188"
"ATL",1993,"41641417","181520605"
"ATL",1994,"49383513","230904118"
"ATL",1995,"47235445","278139563"
"ATL",1996,"49698500","327838063"
"ATL",1997,"52278500","380116563"
"ATL",1998,"61186000","441302563"
"ATL",1999,"73140000","514442563"
"ATL",2000,"84537836","598980399"
"ATL",2001,"91936166","690916565"
"ATL",2002,"92870367","783786932"
"ATL",2003,"106243667","890030599"
"ATL",2004,"90182500","980213099"
"ATL",2005,"86457302","1066670401"
"ATL",2006,"90156876","1156827277"
"ATL",2007,"87290833","1244118110"
"ATL",2008,"102365683","1346483793"
"ATL",2009,"96726166","1443209959"
"ATL",2010,"84423666","1527633625"
"ATL",2011,"87002692","1614636317"
"ATL",2012,"82829942","1697466259"
"ATL",2013,"87871525","1785337784"
"ATL",2014,"97609000","1882946784"
"ATL",2015,"71781250","1954728034"
"ATL",2016,"68498291","2023226325"
"BAL",1985,"11560712","11560712"
"BAL",1986,"13001258","24561970"
"BAL",1987,"13900273","38462243"
"BAL",1988,"13532075","51994318"
"BAL",1989,"8275167","60269485"
"BAL",1990,"9680084","69949569"
"BAL",1991,"17519000","87468569"
"BAL",1992,"23780667","111249236"
"BAL",1993,"29096500","140345736"
"BAL",1994,"38849769","179195505"
"BAL",1995,"43942521","223138026"
"BAL",1996,"54490315","277628341"
"BAL",1997,"58516400","336144741"
"BAL",1998,"72355634","408500375"
"BAL",1999,"80605863","489106238"
"BAL",2000,"81447435","570553673"
"BAL",2001,"67599540","638153213"
"BAL",2002,"60493487","698646700"
"BAL",2003,"73877500","772524200"
"BAL",2004,"51623333","824147533"
"BAL",2005,"73914333","898061866"
"BAL",2006,"72585582","970647448"
"BAL",2007,"93174808","1063822256"
"BAL",2008,"67196246","1131018502"
"BAL",2009,"67101666","1198120168"
"BAL",2010,"81612500","1279732668"
"BAL",2011,"85304038","1365036706"
"BAL",2012,"77353999","1442390705"
"BAL",2013,"84393333","1526784038"
"BAL",2014,"103416000","1630200038"
"BAL",2015,"115044833","1745244871"
"BAL",2016,"161863456","1907108327"
"BOS",1985,"10897560","10897560"
"BOS",1986,"14402239","25299799"
"BOS",1987,"10144167","35443966"
"BOS",1988,"13896092","49340058"
