"playerid","age_first_game","age_last_game","career_length"
"altroni01","21 years 9 mons 29 days","57 years 16 days","35 years 2 mons 18 days"
"orourji01","21 years 7 mons 25 days","54 years 21 days","32 years 4 mons 26 days"
"minosmi01","25 years 4 mons 20 days","56 years 10 mons 6 days","31 years 5 mons 16 days"
"olearch01","28 years 5 mons 30 days","58 years 11 mons 15 days","30 years 5 mons 16 days"
"lathaar01","20 years 3 mons 21 days","49 years 6 mons 15 days","29 years 2 mons 25 days"
"mcguide01","20 years 7 mons 3 days","48 years 6 mons","27 years 10 mons 27 days"
"jennihu01","22 years 1 mon 29 days","49 years 5 mons","27 years 3 mons 1 day"
"eversjo01","21 years 1 mon 11 days","48 years 2 mons 16 days","27 years 1 mon 5 days"
"ryanno01","19 years 7 mons 11 days","46 years 7 mons 22 days","27 years 11 days"
"streega01","21 years 11 mons 13 days","48 years 11 mons 20 days","27 years 7 days"
"ansonca01","19 years 19 days","45 years 5 mons 16 days","26 years 4 mons 28 days"
"moyerja01","23 years 6 mons 28 days","49 years 6 mons 9 days","25 years 11 mons 11 days"
"johnto01","20 years 3 mons 15 days","46 years 3 days","25 years 8 mons 19 days"
"francju01","23 years 8 mons","49 years 25 days","25 years 4 mons 24 days"
"broutda01","21 years 1 mon 15 days","46 years 4 mons 27 days","25 years 3 mons 11 days"
"oroscje01","21 years 11 mons 14 days","46 years 5 mons 6 days","24 years 5 mons 22 days"
"gleaski01","22 years 5 mons 25 days","46 years 10 mons 1 day","24 years 4 mons 7 days"
"henderi01","20 years 5 mons 30 days","44 years 8 mons 25 days","24 years 2 mons 25 days"
"quinnja01","25 years 9 mons 14 days","50 years 6 days","24 years 2 mons 22 days"
"morgami01","18 years 8 mons 3 days","42 years 10 mons 25 days","24 years 2 mons 21 days"
"ryanja01","20 years 9 mons 20 days","44 years 10 mons 22 days","24 years 1 mon 2 days"
"newsobo01","22 years 1 mon","46 years 1 mon 6 days","24 years 6 days"
"taylobe99","24 years 1 mon 23 days","48 years 1 mon 22 days","23 years 11 mons 30 days"
"wynnea01","19 years 8 mons 7 days","43 years 8 mons 7 days","24 years"
"wallabo01","20 years 10 mons 11 days","44 years 9 mons 28 days","23 years 11 mons 17 days"
"houghch01","22 years 7 mons 7 days","46 years 6 mons 21 days","23 years 11 mons 14 days"
"kaatji01","20 years 8 mons 25 days","44 years 7 mons 24 days","23 years 10 mons 30 days"
"collied01","19 years 4 mons 15 days","43 years 3 mons 3 days","23 years 10 mons 18 days"
"fiskca01","21 years 8 mons 23 days","45 years 5 mons 27 days","23 years 9 mons 4 days"
"vizquom01","21 years 11 mons 9 days","45 years 5 mons 9 days","23 years 6 mons"
"griffcl01","21 years 4 mons 21 days","44 years 10 mons 17 days","23 years 5 mons 26 days"
"oconnja01","20 years 10 mons 18 days","44 years 4 mons 7 days","23 years 5 mons 19 days"
"eckerde01","20 years 6 mons 9 days","43 years 11 mons 23 days","23 years 5 mons 14 days"
"niekrph01","25 years 14 days","48 years 5 mons 26 days","23 years 5 mons 12 days"
"spahnwa01","20 years 11 mons 26 days","44 years 5 mons 8 days","23 years 5 mons 12 days"
"hartlgr01","22 years 10 mons 11 days","46 years 2 mons 28 days","23 years 4 mons 17 days"
"rosepe01","21 years 11 mons 24 days","45 years 4 mons 3 days","23 years 4 mons 9 days"
"clemero02","21 years 9 mons 11 days","45 years 1 mon 12 days","23 years 4 mons 1 day"
"ruffire01","19 years 28 days","42 years 4 mons 12 days","23 years 3 mons 15 days"
"coonejo01","20 years 1 mon 1 day","43 years 4 mons 12 days","23 years 3 mons 11 days"
"maranra01","20 years 9 mons 29 days","43 years 10 mons 18 days","23 years 19 days"
"raineti01","19 years 11 mons 25 days","43 years 13 days","23 years 18 days"
"cobbty01","18 years 8 mons 12 days","41 years 8 mons 24 days","23 years 12 days"
"carltst01","20 years 3 mons 21 days","43 years 4 mons 1 day","23 years 11 days"
"schrepa01","19 years 10 mons 25 days","42 years 11 mons","23 years 6 days"
"dempsri01","20 years 10 days","43 years 14 days","23 years 4 days"
"lyonste01","22 years 6 mons 5 days","45 years 4 mons 22 days","22 years 10 mons 17 days"
"staubru01","19 years 8 days","41 years 6 mons 5 days","22 years 5 mons 27 days"
"yastrca01","21 years 7 mons 20 days","44 years 1 mon 11 days","22 years 5 mons 21 days"
"aaronha01","20 years 2 mons 8 days","42 years 7 mons 26 days","22 years 5 mons 20 days"
"blylebe01","19 years 1 mon 29 days","41 years 5 mons 28 days","22 years 3 mons 29 days"
"suttodo01","21 years 12 days","43 years 4 mons 7 days","22 years 3 mons 25 days"
"gossari01","20 years 9 mons 11 days","43 years 1 mon 3 days","22 years 3 mons 22 days"
"nuxhajo01","15 years 10 mons 11 days","38 years 2 mons 3 days","22 years 3 mons 22 days"
"mayswi01","20 years 19 days","42 years 4 mons 3 days","22 years 3 mons 15 days"
"pennohe01","18 years 3 mons 4 days","40 years 6 mons 17 days","22 years 3 mons 13 days"
"winfida01","21 years 8 mons 16 days","43 years 11 mons 29 days","22 years 3 mons 12 days"
"bendech01","18 years 11 mons 15 days","41 years 2 mons 16 days","22 years 3 mons 1 day"
