"playerid","debut_year","final_year","debut_team","final_team","career_length"
"altroni01","1898","1933","LS3","WS1","35"
"orourji01","1872","1904","MID","NY1","32"
"minosmi01","1949","1980","CLE","CHA","31"
"olearch01","1904","1934","DET","SLA","30"
"lathaar01","1880","1909","BFN","NY1","29"
"mcguide01","1884","1912","TL1","DET","28"
"eversjo01","1902","1929","CHN","BSN","27"
"jennihu01","1891","1918","LS2","DET","27"
"ryanno01","1966","1993","NYN","TEX","27"
"streega01","1904","1931","CIN","SLN","27"
"ansonca01","1871","1897","RC1","CHN","26"
"johnto01","1963","1989","CLE","NYA","26"
"moyerja01","1986","2012","CHN","COL","26"
"broutda01","1879","1904","TRN","NY1","25"
"francju01","1982","2007","PHI","ATL","25"
"francju01","1982","2007","PHI","NYN","25"
"collied01","1906","1930","PHA","PHA","24"
"fiskca01","1969","1993","BOS","CHA","24"
"gleaski01","1888","1912","PHI","CHA","24"
"henderi01","1979","2003","OAK","LAN","24"
