"teamid","hof_count"
"NYA","23"
"NY1","19"
"SLN","19"
"CHN","18"
"CHA","15"
"PIT","14"
"CLE","13"
"PHI","13"
"BOS","11"
"DET","11"
"BRO","10"
"CIN","10"
"PHA","8"
"BAL","7"
"MIN","7"
"BSN","7"
"ATL","6"
"OAK","6"
"WS1","6"
"SFN","5"
"SLA","5"
"KCM","5"
"MON","4"
"BLN","4"
"CAG","4"
"HOU","4"
"HIL","3"
"HG","3"
"SEA","3"
"LAN","3"
"BS1","3"
"ML1","3"
"BFN","3"
"SLS","3"
"NLG","2"
"COL","2"
"DS","2"
"ML4","2"
"NE","2"
"ABC","2"
"NYN","2"
"SDN","2"
"TEX","2"
"TOR","2"
"KC1","1"
"PRO","1"
"WS8","1"
"DTN","1"
"CXG","1"
"SL4","1"
"CSE","1"
"CL4","1"
"BBS","1"
"ARI","1"
"PG","1"
"NY2","1"
"KCA","1"
