"debut_year","avg_weight","avg_height"
"1871","157.05","68.51"
"1872","166.90","68.52"
"1873","157.54","68.92"
"1874","159.50","67.82"
"1875","164.04","68.85"
"1876","165.94","69.19"
"1877","168.08","68.82"
"1878","172.07","68.76"
"1879","169.42","69.43"
"1880","170.36","69.72"
"1881","173.33","69.25"
"1882","169.30","69.28"
"1883","171.51","69.74"
"1884","167.77","69.52"
"1885","173.62","69.78"
"1886","167.56","69.51"
"1887","165.95","69.56"
"1888","170.83","69.54"
"1889","169.25","70.09"
"1890","169.15","69.90"
"1891","168.92","69.68"
"1892","167.27","69.98"
"1893","173.39","70.26"
"1894","166.27","69.33"
"1895","170.01","69.86"
"1896","169.72","69.81"
"1897","173.60","70.14"
"1898","172.35","70.26"
"1899","171.00","70.15"
"1900","174.53","71.58"
"1901","172.48","69.95"
"1902","173.78","70.49"
"1903","171.37","70.33"
"1904","171.03","69.90"
"1905","176.55","70.73"
"1906","174.94","70.67"
"1907","173.20","70.56"
"1908","174.21","70.54"
"1909","176.32","71.09"
"1910","172.15","70.86"
"1911","172.39","70.85"
"1912","171.36","70.70"
"1913","173.40","70.77"
"1914","171.15","70.64"
"1915","172.70","71.03"
"1916","168.74","70.30"
"1917","169.59","70.61"
"1918","173.45","70.96"
"1919","172.23","70.80"
"1920","172.20","70.94"
"1921","169.40","70.57"
"1922","173.91","71.06"
"1923","173.88","70.62"
"1924","173.11","71.10"
"1925","171.79","70.69"
"1926","173.19","70.70"
"1927","171.52","70.97"
"1928","176.93","71.45"
"1929","174.69","70.99"
"1930","177.32","71.48"
"1931","176.53","70.98"
"1932","176.44","71.72"
"1933","180.23","71.57"
"1934","180.08","71.71"
"1935","178.17","71.76"
"1936","180.45","71.71"
"1937","179.89","71.58"
"1938","178.16","71.54"
"1939","180.56","72.21"
"1940","183.01","72.48"
"1941","183.53","72.38"
"1942","182.60","71.96"
"1943","182.34","71.86"
"1944","180.61","71.67"
"1945","179.83","71.69"
"1946","183.30","72.31"
"1947","182.49","71.93"
"1948","183.40","72.27"
"1949","183.52","72.24"
"1950","183.52","72.57"
"1951","181.50","72.01"
"1952","184.52","72.47"
"1953","184.48","72.33"
"1954","183.13","72.48"
"1955","184.42","72.48"
"1956","183.63","72.46"
"1957","185.92","72.53"
"1958","185.75","72.32"
"1959","188.20","73.10"
"1960","186.86","72.71"
"1961","185.13","72.85"
"1962","184.67","72.80"
"1963","185.55","72.77"
"1964","183.88","72.95"
"1965","184.36","73.12"
"1966","187.77","73.06"
"1967","185.93","72.77"
"1968","188.77","72.85"
"1969","186.96","72.92"
"1970","187.64","73.24"
"1971","184.14","72.81"
"1972","184.46","72.83"
"1973","185.40","72.85"
"1974","184.85","72.96"
"1975","185.94","73.26"
"1976","188.07","73.42"
"1977","186.72","72.99"
"1978","186.23","73.14"
"1979","187.45","73.24"
"1980","186.94","73.27"
"1981","186.45","73.11"
"1982","189.01","73.56"
"1983","189.50","73.37"
"1984","187.08","73.25"
"1985","187.34","73.21"
"1986","186.81","73.35"
"1987","185.46","73.21"
"1988","190.88","73.59"
"1989","188.25","73.49"
"1990","188.08","73.24"
"1991","191.95","73.35"
"1992","191.60","73.47"
"1993","192.56","73.62"
"1994","193.09","73.85"
"1995","192.39","73.28"
"1996","196.19","73.68"
"1997","195.09","73.33"
"1998","198.21","73.54"
"1999","198.77","73.67"
"2000","198.76","73.65"
"2001","202.29","73.44"
"2002","206.16","73.74"
"2003","201.55","73.75"
"2004","205.06","73.69"
"2005","210.24","73.52"
"2006","209.69","73.80"
"2007","210.02","73.78"
"2008","207.77","73.40"
"2009","211.19","73.97"
"2010","212.43","73.67"
"2011","210.71","73.44"
"2012","210.72","73.59"
"2013","211.14","73.56"
"2014","212.82","73.71"
"2015","211.39","73.72"
"2016","211.02","73.84"
"2017","211.71","73.74"
"2018","211.02","73.78"
"2019","208.89","73.58"
"2020","211.15","73.96"
"2021","205.06","73.76"
"2022","201.47","73.66"
"2023","202.52","73.65"
"2024","205.18","73.63"
